MA,FA,Cs,Pb,Sn,Br,Cl,I,Bandgap
0.0,0.2,0.8,0.3,0.7,0.0,0.0,1.0,1.35
0.0,0.2,0.8,1.0,0.0,0.2,0.0,0.8,1.603
0.0,0.4,0.6,1.0,0.0,0.4,0.0,0.6,1.76
0.0,0.55,0.45,1.0,0.0,0.05,0.0,0.95,1.62
0.0,0.6,0.4,0.6,0.4,0.0,0.0,1.0,1.24
0.0,0.6,0.4,1.0,0.0,0.256,0.0,0.744,1.65
0.0,0.6,0.4,1.0,0.0,0.3,0.0,0.7,1.75
0.0,0.6,0.4,1.0,0.0,0.35,0.0,0.65,1.78
0.0,0.7,0.3,1.0,0.0,0.0,0.0,1.0,1.546
0.0,0.7,0.3,1.0,0.0,0.05,0.0,0.95,1.62
0.0,0.7,0.3,1.0,0.0,0.256,0.0,0.744,1.72
0.0,0.7,0.3,1.0,0.0,1.0,0.0,0.0,2.287
0.0,0.75,0.25,0.0,1.0,0.0,0.0,1.0,1.29
0.0,0.75,0.25,0.5,0.5,0.0,0.0,1.0,1.23
0.0,0.75,0.25,0.5,0.5,0.17,0.0,0.83,1.6
0.0,0.75,0.25,0.5,0.5,0.5,0.0,0.5,1.8
0.0,0.75,0.25,1.0,0.0,0.0,0.0,1.0,1.57
0.0,0.75,0.25,1.0,0.0,0.1,0.0,0.9,1.57
0.0,0.75,0.25,1.0,0.0,0.2,0.0,0.8,1.697
0.0,0.8,0.2,0.0,1.0,0.0,0.0,1.0,1.2
0.0,0.8,0.2,0.3,0.7,0.0,0.0,1.0,1.35
0.0,0.8,0.2,0.5,0.5,0.0,0.0,1.0,1.2966666666666666
0.0,0.8,0.2,1.0,0.0,0.0,0.0,1.0,1.565
0.0,0.8,0.2,1.0,0.0,0.053,0.0,0.947,1.5350000000000001
0.0,0.8,0.2,1.0,0.0,0.054,0.0,0.946,1.58
0.0,0.8,0.2,1.0,0.0,0.2,0.0,0.8,1.48
0.0,0.8,0.2,1.0,0.0,0.256,0.0,0.744,1.71
0.0,0.8,0.2,1.0,0.0,0.4,0.0,0.6,1.7743333333333335
0.0,0.8,0.2,1.0,0.0,0.7,0.0,0.3,1.99
0.0,0.81,0.19,1.0,0.0,0.22,0.0,0.78,1.63
0.0,0.83,0.17,0.4,0.6,0.0,0.0,1.0,1.25
0.0,0.83,0.17,0.6,0.4,0.0,0.0,1.0,1.2774999999999999
0.0,0.83,0.17,0.7,0.3,0.0,0.0,1.0,1.324
0.0,0.83,0.17,0.8,0.2,0.0,0.0,1.0,1.355
0.0,0.83,0.17,0.9,0.1,0.0,0.0,1.0,1.455
0.0,0.83,0.17,0.95,0.05,0.0,0.0,1.0,1.5025
0.0,0.83,0.17,0.98,0.02,0.0,0.0,1.0,1.51
0.0,0.83,0.17,0.99,0.01,0.0,0.0,1.0,1.52
0.0,0.83,0.17,0.995,0.005,0.0,0.0,1.0,1.52
0.0,0.83,0.17,0.999,0.001,0.0,0.0,1.0,1.51
0.0,0.83,0.17,1.0,0.0,0.0,0.0,1.0,1.5233333333333334
0.0,0.83,0.17,1.0,0.0,0.057,0.0,0.943,1.6
0.0,0.83,0.17,1.0,0.0,0.17,0.0,0.83,1.6349999999999998
0.0,0.83,0.17,1.0,0.0,0.2,0.0,0.8,1.61
0.0,0.83,0.17,1.0,0.0,0.25,0.0,0.75,1.6975
0.0,0.83,0.17,1.0,0.0,0.27,0.0,0.73,1.72
0.0,0.83,0.17,1.0,0.0,0.33,0.0,0.67,1.74
0.0,0.83,0.17,1.0,0.0,0.4,0.0,0.6,1.72
0.0,0.83,0.17,1.0,0.0,0.5,0.0,0.5,1.83
0.0,0.83,0.17,1.0,0.0,0.67,0.0,0.33,1.96
0.0,0.83,0.17,1.0,0.0,0.83,0.0,0.17,2.07
0.0,0.85,0.15,0.0,1.0,0.0,0.0,1.0,1.35
0.0,0.85,0.15,0.375,0.625,0.0,0.0,1.0,1.24
0.0,0.85,0.15,1.0,0.0,0.0,0.0,1.0,1.5405
0.0,0.85,0.15,1.0,0.0,0.05,0.0,0.95,1.587
0.0,0.85,0.15,1.0,0.0,0.1,0.0,0.9,1.55
0.0,0.85,0.15,1.0,0.0,0.15,0.0,0.85,1.5625
0.0,0.85,0.15,1.0,0.0,0.3,0.0,0.7,1.72
0.0,0.87,0.13,1.0,0.0,0.13,0.0,0.87,1.56
0.0,0.87,0.13,1.0,0.0,0.6,0.0,0.4,1.93
0.0,0.875,0.125,1.0,0.0,0.125,0.0,0.875,1.5905
0.0,0.9,0.1,1.0,0.0,0.0,0.0,1.0,1.5306666666666668
0.0,0.9,0.1,1.0,0.0,0.033,0.0,0.967,1.55
0.0,0.9,0.1,1.0,0.0,0.0333,0.0,0.9667,1.55
0.0,0.9,0.1,1.0,0.0,0.1,0.0,0.9,1.53
0.0,0.9,0.1,1.0,0.0,0.2,0.0,0.8,1.61
0.0,0.9,0.1,1.0,0.0,0.256,0.0,0.744,1.72
0.0,0.9,0.1,1.0,0.0,1.0,0.0,0.0,2.277
0.0,0.925,0.075,0.0,1.0,0.0,0.0,1.0,1.36
0.0,0.925,0.075,1.0,0.0,0.0,0.0,1.0,1.51
0.0,0.93,0.07,1.0,0.0,0.0,0.0,1.0,1.5385
0.0,0.95,0.05,1.0,0.0,0.0,0.0,1.0,1.532
0.0,0.95,0.05,1.0,0.0,0.05,0.0,0.95,1.509
0.0,0.95,0.05,1.0,0.0,0.1,0.0,0.9,1.48
0.0,0.97,0.03,1.0,0.0,0.0,0.0,1.0,1.53
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.3
0.0,1.0,0.0,0.0,1.0,0.08,0.0,0.92,1.47
0.0,1.0,0.0,0.0,1.0,0.167,0.0,0.833,1.53
0.0,1.0,0.0,0.0,1.0,0.25,0.0,0.75,1.63
0.0,1.0,0.0,0.0,1.0,0.333,0.0,0.667,1.571
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.4
0.0,1.0,0.0,0.125,0.875,0.0,0.0,1.0,1.25
0.0,1.0,0.0,0.2,0.8,0.0,0.0,1.0,1.29
0.0,1.0,0.0,0.375,0.625,0.0,0.0,1.0,1.21
0.0,1.0,0.0,0.4,0.6,0.0,0.0,1.0,1.29
0.0,1.0,0.0,0.5,0.5,0.0,0.0,1.0,1.1949999999999998
0.0,1.0,0.0,0.625,0.375,0.0,0.0,1.0,1.24
0.0,1.0,0.0,0.7,0.3,0.0,0.0,1.0,1.3385
0.0,1.0,0.0,0.75,0.25,0.0,0.0,1.0,1.3765
0.0,1.0,0.0,0.85,0.15,0.0,0.0,1.0,1.51
0.0,1.0,0.0,0.875,0.125,0.0,0.0,1.0,1.33
0.0,1.0,0.0,0.9,0.1,0.0,0.0,1.0,1.43
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.5234999999999999
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.02
0.0,1.0,0.0,1.0,0.0,0.095,0.0,0.905,1.59
0.0,1.0,0.0,1.0,0.0,0.2,0.0,0.8,1.57
0.0,1.0,0.0,1.0,0.0,0.256,0.0,0.744,1.7
0.0,1.0,0.0,1.0,0.0,0.667,0.0,0.333,1.969
0.0,1.0,0.0,1.0,0.0,0.7,0.3,0.0,2.44
0.0,1.0,0.0,1.0,0.0,0.75,0.25,0.0,2.39
0.0,1.0,0.0,1.0,0.0,0.81,0.19,0.0,2.36
0.0,1.0,0.0,1.0,0.0,0.833,0.0,0.167,2.105
0.0,1.0,0.0,1.0,0.0,0.89,0.11,0.0,2.3
0.0,1.0,0.0,1.0,0.0,0.9,0.0,0.1,1.97
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.262
0.024,0.976,0.0,1.0,0.0,0.025,0.0,0.975,1.54
0.025,0.945,0.03,1.0,0.0,0.025,0.0,0.975,1.56
0.025,0.975,0.0,1.0,0.0,0.0,0.0,1.0,1.48
0.03,0.7566,0.213,1.0,0.0,0.146,0.0,0.8245,1.67
0.03,0.7566,0.213,1.0,0.0,0.146,0.03,0.8245,1.67
0.03,0.83,0.14,1.0,0.0,0.17,0.0,0.83,1.63
0.03,0.97,0.0,1.0,0.0,0.015,0.015,0.97,1.561
0.04,0.8,0.16,1.0,0.0,0.5,0.0,0.5,1.82
0.04,0.8,0.16,1.0,0.0,0.57,0.0,0.43,1.89
0.05,0.75,0.2,1.0,0.0,0.17,0.0,0.83,1.63
0.05,0.85,0.1,1.0,0.0,0.1,0.0,0.9,1.57
0.05,0.9,0.05,1.0,0.0,0.1,0.0,0.9,1.52
0.05,0.95,0.0,1.0,0.0,0.05,0.0,0.95,1.505
0.0664,0.666,0.2668,1.0,0.0,0.095,0.0,0.905,1.65
0.0664,0.666,0.2668,1.0,0.0,0.256,0.0,0.744,1.71
0.0664,0.8668,0.0664,1.0,0.0,0.095,0.0,0.905,1.63
0.07,0.83,0.1,1.0,0.0,0.17,0.0,0.83,1.63
0.08,0.92,0.0,1.0,0.0,0.08,0.0,0.92,1.59
0.083,0.747,0.17,1.0,0.0,0.13,0.0,0.87,1.6
0.09,0.76,0.15,1.0,0.0,0.01,0.0,0.99,1.599
0.09,0.81,0.1,1.0,0.0,0.01,0.0,0.99,1.6
0.09,0.81,0.1,1.0,0.0,0.033,0.0,0.967,1.55
0.1,0.4,0.5,1.0,0.0,0.17,0.0,0.83,1.6949999999999998
0.1,0.6,0.3,1.0,0.0,0.256,0.0,0.744,1.72
0.1,0.75,0.15,1.0,0.0,0.0,0.0,1.0,1.554
0.1,0.75,0.15,1.0,0.0,0.033,0.0,0.967,1.57
0.1,0.85,0.05,1.0,0.0,0.01,0.0,0.99,1.598
0.1,0.85,0.05,1.0,0.0,0.1,0.0,0.9,1.55
0.1,0.85,0.05,1.0,0.0,0.15,0.0,0.85,1.59
0.1,0.9,0.0,1.0,0.0,0.0,0.0,1.0,1.532
0.1,0.9,0.0,1.0,0.0,0.01,0.0,0.99,1.581
0.1,0.9,0.0,1.0,0.0,0.033,0.0,0.967,1.562
0.1,0.9,0.0,1.0,0.0,0.1,0.0,0.9,1.6
0.1,0.9,0.0,1.0,0.0,0.256,0.0,0.744,1.7
0.1196,0.8004,0.08,1.0,0.0,0.1196,0.0,0.8804,1.6
0.1196,0.8004,0.08,1.0,0.0,0.12,0.0,0.8804,1.6
0.12,0.83,0.05,1.0,0.0,0.15,0.0,0.85,1.61
0.12,0.83,0.05,1.0,0.0,0.163,0.0,0.837,1.6
0.12,0.83,0.05,1.0,0.0,0.17,0.0,0.83,1.63
0.12,0.88,0.0,1.0,0.0,0.0,0.0,1.0,1.53
0.12,0.93,0.05,1.0,0.0,0.1633,0.0,0.8367,1.6
0.13,0.74,0.1,1.0,0.0,0.13,0.0,0.83,1.6
0.13,0.76,0.1,1.0,0.0,0.15,0.0,0.85,1.61
0.13,0.78,0.05,1.0,0.0,0.15,0.0,0.85,1.6
0.13,0.87,0.0,1.0,0.0,0.0,0.0,1.0,1.52
0.133,0.733,0.133,1.0,0.0,0.095,0.0,0.905,1.65
0.133,0.733,0.133,1.0,0.0,0.256,0.0,0.744,1.71
0.133,0.779,0.05,1.0,0.0,0.15,0.0,0.85,1.6
0.136,0.664,0.2,1.0,0.0,0.35,0.0,0.65,1.77
0.14,0.66,0.2,0.0,1.0,0.167,0.0,0.833,1.42
0.14,0.66,0.2,0.25,0.75,0.167,0.0,0.833,1.28
0.14,0.66,0.2,0.5,0.5,0.167,0.0,0.833,1.31
0.14,0.66,0.2,0.75,0.25,0.167,0.0,0.833,1.38
0.14,0.66,0.2,1.0,0.0,0.167,0.0,0.833,1.6
0.14,0.71,0.15,1.0,0.0,0.3,0.0,0.7,1.7
0.14,0.76,0.1,1.0,0.0,0.15,0.0,0.85,1.61
0.14,0.76,0.1,1.0,0.0,0.17,0.0,0.83,1.61
0.14,0.77,0.09,1.0,0.0,0.86,0.0,0.14,1.59
0.14,0.79,0.07,1.0,0.0,0.15,0.0,0.85,1.55
0.14,0.81,0.05,1.0,0.0,0.133,0.0,0.867,1.61
0.14,0.81,0.05,1.0,0.0,0.14,0.0,0.86,1.61
0.14,0.81,0.05,1.0,0.0,0.15,0.0,0.85,1.60425
0.14,0.82,0.04,1.0,0.0,0.14,0.0,0.86,1.58
0.1425,0.8075,0.05,1.0,0.0,0.1425,0.0,0.8575,1.6
0.1425,0.8075,0.05,1.0,0.0,0.143,0.0,0.8575,1.6
0.1425,0.8075,0.05,1.0,0.0,0.15,0.0,0.85,1.608
0.1445,0.7055,0.15,1.0,0.0,0.2,0.0,0.8,1.64
0.15,0.65,0.2,1.0,0.0,0.15,0.0,0.85,1.85
0.15,0.72,0.13,1.0,0.0,0.167,0.0,0.833,1.63
0.15,0.74,0.11,1.0,0.0,0.4,0.0,0.6,1.78
0.15,0.75,0.1,0.0,1.0,0.167,0.0,0.833,1.44
0.15,0.75,0.1,0.25,0.75,0.167,0.0,0.833,1.29
0.15,0.75,0.1,0.75,0.25,0.167,0.0,0.833,1.36
0.15,0.75,0.1,1.0,0.0,0.167,0.0,0.833,1.62
0.15,0.75,0.1,1.0,0.0,0.17,0.0,0.83,1.5775000000000001
0.15,0.75,0.1,1.0,0.0,0.333,0.0,0.667,1.73
0.15,0.78,0.07,1.0,0.0,0.15,0.0,0.85,1.61
0.15,0.79,0.06,1.0,0.0,0.15,0.0,0.85,1.6666666666666667
0.15,0.79,0.06,1.0,0.0,0.29,0.0,0.71,1.78
0.15,0.79,0.06,1.0,0.0,0.6,0.0,0.4,1.7925
0.15,0.8,0.05,1.0,0.0,0.083,0.0,0.917,1.57
0.15,0.8,0.05,1.0,0.0,0.15,0.0,0.85,1.608666666666667
0.15,0.8,0.05,1.0,0.0,0.25,0.0,0.75,1.665
0.15,0.825,0.025,1.0,0.0,0.15,0.0,0.85,1.651
0.15,0.85,0.0,0.6,0.4,0.15,0.0,0.85,1.28
0.15,0.85,0.0,1.0,0.0,0.0,0.0,1.0,1.5545
0.15,0.85,0.0,1.0,0.0,0.07,0.0,0.93,1.56
0.15,0.85,0.0,1.0,0.0,0.15,0.0,0.85,1.5845
0.15,0.85,0.0,1.0,0.0,0.167,0.0,0.833,1.6375
0.15,0.85,0.0,1.0,0.0,0.2,0.0,0.8,1.618
0.15,0.85,0.0,1.0,0.0,0.4,0.0,0.6,1.76
0.15,0.85,0.0,1.0,0.0,0.6,0.0,0.4,1.76
0.15,0.85,0.0,1.0,0.0,0.85,0.0,0.15,1.6
0.153,0.747,0.1,1.0,0.0,0.17,0.0,0.83,1.665
0.16,0.74,0.1,1.0,0.0,0.17,0.0,0.83,1.61
0.16,0.76,0.08,1.0,0.0,0.17,0.0,0.83,1.62
0.16,0.78,0.06,1.0,0.0,0.17,0.0,0.83,1.63
0.16,0.79,0.05,0.16,0.84,0.173,0.0,0.827,1.38
0.16,0.79,0.05,0.25,0.75,0.167,0.0,0.833,1.3
0.16,0.79,0.05,0.5,0.5,0.167,0.0,0.833,1.31
0.16,0.79,0.05,0.58,0.42,0.173,0.0,0.827,1.38
0.16,0.79,0.05,0.664,0.336,0.173,0.0,0.827,1.38
0.16,0.79,0.05,0.748,0.252,0.173,0.0,0.827,1.38
0.16,0.79,0.05,0.75,0.25,0.167,0.0,0.833,1.34
0.16,0.79,0.05,0.832,0.168,0.173,0.0,0.827,1.38
0.16,0.79,0.05,0.916,0.084,0.173,0.0,0.827,1.38
0.16,0.79,0.05,1.0,0.0,0.0,0.0,1.0,1.5550000000000002
0.16,0.79,0.05,1.0,0.0,0.1,0.0,0.9,1.59
0.16,0.79,0.05,1.0,0.0,0.15,0.0,0.85,1.617
0.16,0.79,0.05,1.0,0.0,0.1567,0.0,0.8433,1.59
0.16,0.79,0.05,1.0,0.0,0.157,0.0,0.843,1.59
0.16,0.79,0.05,1.0,0.0,0.16,0.0,0.84,1.582
0.16,0.79,0.05,1.0,0.0,0.167,0.0,0.833,1.5975
0.16,0.79,0.05,1.0,0.0,0.17,0.0,0.83,1.5855000000000001
0.16,0.79,0.05,1.0,0.0,0.4,0.0,0.6,1.8
0.16,0.79,0.05,1.0,0.0,0.5,0.0,0.5,1.85
0.16,0.8,0.04,1.0,0.0,0.163,0.0,0.837,1.617
0.16,0.8,0.04,1.0,0.0,0.167,0.0,0.833,1.6215000000000002
0.16,0.8,0.04,1.0,0.0,0.17,0.0,0.83,1.61
0.16,0.81,0.03,1.0,0.0,0.167,0.0,0.833,1.63
0.16,0.84,0.0,1.0,0.0,0.133,0.0,0.867,1.53
0.16,0.84,0.0,1.0,0.0,0.167,0.0,0.833,1.65
0.16,0.84,0.0,1.0,0.0,0.17,0.0,0.83,1.64
0.1615,0.7885,0.05,1.0,0.0,0.1,0.0,0.9,1.5575
0.1615,0.7885,0.05,1.0,0.0,0.17,0.0,0.83,1.7
0.1615,0.7885,0.05,1.0,0.0,0.18,0.0,0.82,1.63
0.1615,0.7885,0.05,1.0,0.0,0.4,0.0,0.6,1.71
0.162,0.788,0.05,1.0,0.0,0.17,0.0,0.83,1.59
0.17,0.83,0.0,1.0,0.0,0.0,0.0,1.0,1.5325
0.17,0.83,0.0,1.0,0.0,0.11,0.0,0.89,1.59
0.17,0.83,0.0,1.0,0.0,0.13,0.0,0.87,1.6
0.17,0.83,0.0,1.0,0.0,0.153,0.0,0.847,1.57
0.17,0.83,0.0,1.0,0.0,0.157,0.0,0.843,1.61
0.17,0.83,0.0,1.0,0.0,0.16,0.0,0.84,1.63
0.17,0.83,0.0,1.0,0.0,0.163,0.0,0.837,1.615
0.17,0.83,0.0,1.0,0.0,0.167,0.0,0.833,1.614
0.17,0.83,0.0,1.0,0.0,0.17,0.0,0.83,1.61
0.17,0.83,0.0,1.0,0.0,0.173,0.0,0.827,1.64
0.17,0.83,0.0,1.0,0.0,0.5,0.0,0.5,1.8265
0.17,0.83,0.0,1.0,0.0,0.667,0.0,0.333,1.976
0.17,0.83,0.0,1.0,0.0,0.833,0.0,0.167,2.113
0.17,0.83,0.0,1.0,0.0,1.0,0.0,0.0,2.254
0.18,0.74,0.08,1.0,0.0,0.12,0.0,0.88,1.65
0.18,0.82,0.0,1.0,0.0,0.177,0.0,0.82,1.64
0.19,0.76,0.05,1.0,0.0,0.2,0.0,0.8,1.59
0.19,0.81,0.0,1.0,0.0,0.18,0.0,0.82,1.62
0.2,0.6,0.2,1.0,0.0,0.095,0.0,0.905,1.64
0.2,0.6,0.2,1.0,0.0,0.256,0.0,0.744,1.7
0.2,0.65,0.15,1.0,0.0,0.2,0.0,0.8,1.6749999999999998
0.2,0.7,0.1,0.5,0.5,0.0,0.0,1.0,1.25
0.2,0.7,0.1,1.0,0.0,0.0,0.0,1.0,1.49
0.2,0.73,0.07,1.0,0.0,0.157,0.0,0.843,1.6
0.2,0.75,0.05,1.0,0.0,0.0,0.0,1.0,1.52
0.2,0.77,0.03,1.0,0.0,0.153,0.0,0.847,1.5
0.2,0.8,0.0,1.0,0.0,0.0,0.0,1.0,1.412
0.2,0.8,0.0,1.0,0.0,0.067,0.0,0.933,1.53
0.2,0.8,0.0,1.0,0.0,0.095,0.0,0.905,1.61
0.2,0.8,0.0,1.0,0.0,0.2,0.0,0.8,1.5
0.225,0.675,0.1,1.0,0.0,0.22,0.0,0.78,1.67
0.23,0.69,0.08,1.0,0.0,0.22,0.0,0.78,1.67
0.25,0.75,0.0,0.0,1.0,0.0,0.0,1.0,1.3613333333333333
0.25,0.75,0.0,1.0,0.0,0.0,0.0,1.0,1.53
0.25,0.75,0.0,1.0,0.0,0.17,0.0,0.83,1.65
0.25,0.75,0.0,1.0,0.0,0.24,0.0,0.76,1.65
0.26,0.68,0.05,0.75,0.25,0.133,0.0,0.867,1.36
0.2668,0.666,0.0664,1.0,0.0,0.095,0.0,0.905,1.63
0.29,0.71,0.0,1.0,0.0,0.14,0.0,0.86,1.62
0.3,0.6,0.1,1.0,0.0,0.256,0.0,0.744,1.7
0.3,0.65,0.05,1.0,0.0,0.05,0.0,0.95,1.55
0.3,0.7,0.0,0.5,0.5,0.0,0.0,1.0,1.22
0.3,0.7,0.0,1.0,0.0,0.0,0.0,1.0,1.582
0.3,0.7,0.0,1.0,0.0,0.033,0.0,0.967,1.58
0.3,0.7,0.0,1.0,0.0,0.095,0.0,0.905,1.63
0.3,0.7,0.0,1.0,0.0,0.256,0.0,0.744,1.71
0.3,0.7,0.0,1.0,0.0,0.3,0.0,0.7,1.71
0.33,0.58,0.09,1.0,0.0,0.2167,0.0,0.7833,1.59
0.33,0.58,0.09,1.0,0.0,0.217,0.0,0.783,1.59
0.33,0.67,0.0,1.0,0.0,0.0,0.0,1.0,1.528
0.33,0.67,0.0,1.0,0.0,0.167,0.0,0.833,1.638
0.33,0.67,0.0,1.0,0.0,0.667,0.0,0.333,1.969
0.33,0.67,0.0,1.0,0.0,0.833,0.0,0.167,2.115
0.333,0.667,0.0,1.0,0.0,0.333,0.0,0.667,1.64
0.34,0.66,0.0,1.0,0.0,0.0,0.0,1.0,1.533
0.34,0.66,0.0,1.0,0.0,0.14,0.0,0.86,1.62
0.35,0.65,0.0,1.0,0.0,0.0,0.0,1.0,1.52
0.36,0.54,0.1,1.0,0.0,0.0,0.0,1.0,1.51
0.37,0.48,0.15,1.0,0.0,0.33,0.0,0.67,1.69
0.37,0.55,0.08,1.0,0.0,0.0,0.0,1.0,1.53
0.38,0.5,0.12,1.0,0.0,0.32,0.0,0.68,1.705
0.38,0.57,0.05,1.0,0.0,0.0,0.0,1.0,1.54
0.4,0.0,0.6,1.0,0.0,0.4,0.0,0.6,1.75
0.4,0.2,0.4,1.0,0.0,0.0,0.0,1.0,1.64
0.4,0.5,0.1,1.0,0.0,0.0,0.0,1.0,1.52
0.4,0.55,0.05,1.0,0.0,0.04,0.0,0.96,1.56
0.4,0.6,0.0,0.4,0.6,0.0,0.0,1.0,1.2345000000000002
0.4,0.6,0.0,0.4,0.6,0.04,0.0,0.96,1.26
0.4,0.6,0.0,0.4,0.6,0.06,0.0,0.94,1.271
0.4,0.6,0.0,0.4,0.6,0.1,0.0,0.9,1.377
0.4,0.6,0.0,0.4,0.6,0.16,0.0,0.84,1.32
0.4,0.6,0.0,1.0,0.0,0.0,0.0,1.0,1.54
0.4,0.6,0.0,1.0,0.0,0.133,0.0,0.867,1.58
0.4,0.6,0.0,1.0,0.0,0.256,0.0,0.744,1.72
0.4,0.6,0.0,1.0,0.0,0.4,0.0,0.6,1.7650000000000001
0.45,0.5,0.05,0.5,0.5,0.0,0.0,1.0,1.2149999999999999
0.48,0.32,0.2,1.0,0.0,0.067,0.0,0.933,1.607
0.5,0.2,0.3,1.0,0.0,0.0,0.0,1.0,1.64
0.5,0.4,0.1,1.0,0.0,0.0,0.0,1.0,1.54
0.5,0.45,0.05,0.5,0.5,0.0,0.0,1.0,1.26
0.5,0.475,0.025,0.5,0.5,0.0,0.0,1.0,1.27
0.5,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.3399999999999999
0.5,0.5,0.0,0.5,0.5,0.0,0.0,1.0,1.236
0.5,0.5,0.0,0.75,0.25,0.0,0.0,1.0,1.33
0.5,0.5,0.0,1.0,0.0,0.167,0.0,0.833,1.612
0.5,0.5,0.0,1.0,0.0,0.333,0.0,0.667,1.751
0.5,0.5,0.0,1.0,0.0,0.5,0.0,0.5,1.8415
0.5,0.5,0.0,1.0,0.0,0.833,0.0,0.167,2.141
0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0,2.28
0.54,0.36,0.1,1.0,0.0,0.067,0.0,0.933,1.59
0.56,0.44,0.0,1.0,0.0,0.11,0.0,0.89,1.62
0.57,0.38,0.05,1.0,0.0,0.067,0.0,0.933,1.57
0.6,0.0,0.4,1.0,0.0,0.0,0.0,1.0,1.62
0.6,0.2,0.2,1.0,0.0,0.0,0.0,1.0,1.634
0.6,0.37,0.03,1.0,0.0,0.008,0.0,0.992,1.6
0.6,0.38,0.02,1.0,0.0,0.008,0.0,0.992,1.6
0.6,0.39,0.01,1.0,0.0,0.008,0.0,0.992,1.6
0.6,0.4,0.0,1.0,0.0,0.0,0.0,1.0,1.537
0.6,0.4,0.0,1.0,0.0,0.008,0.0,0.992,1.6
0.6,0.4,0.0,1.0,0.0,0.033,0.0,0.967,1.55
0.6,0.4,0.0,1.0,0.0,0.0667,0.0,0.933,1.58
0.6,0.4,0.0,1.0,0.0,0.067,0.0,0.933,1.56
0.6,0.4,0.0,1.0,0.0,0.2,0.0,0.8,1.68
0.6,0.4,0.0,1.0,0.0,0.4,0.0,0.6,1.76
0.66,0.0,0.34,1.0,0.0,0.0,0.0,1.0,1.652
